eff_size_f	sample_size
0.100000	492.482	
0.110000	407.346	
0.120000	342.594	
0.130000	292.202	
0.140000	252.218	
0.150000	219.961	
0.160000	193.562	
0.170000	171.684	
0.180000	153.350	
0.190000	137.835	
0.200000	124.589	
0.210000	113.190	
0.220000	103.310	
0.230000	94.6919	
0.240000	87.1286	
0.250000	80.4552	
0.260000	74.5374	
0.270000	69.2655	
0.280000	64.5488	
0.290000	60.3121	
0.300000	56.4925	
0.310000	53.0371	
0.320000	49.9011	
0.330000	47.0464	
0.340000	44.4404	
0.350000	42.0552	
0.360000	39.8664	
0.370000	37.8532	
0.380000	35.9975	
0.390000	34.2831	
0.400000	32.6963	
0.410000	31.2246	
0.420000	29.8574	
0.430000	28.5850	
0.440000	27.3988	
0.450000	26.2914	
0.460000	25.2559	
0.470000	24.2863	
0.480000	23.3772	
0.490000	22.5237	
0.500000	21.7214	
